observation,block,EE_seq,grandmother,mother,population,EE,cue,growth_rate
710,B15,seq33,N,A,REL_280,REL,light,0.58
711,B15,seq33,N,A,REL_280,REL,light,0.447
712,B15,seq33,N,A,REL_280,REL,no_light,0.954
713,B15,seq33,N,A,REL_280,REL,no_light,0.567
714,B15,seq33,N,A,REL_280,REL,no_light,1.014
715,B15,seq33,N,N,REL_280,REL,light,1.239
716,B15,seq33,N,N,REL_280,REL,light,1.231
717,B15,seq33,N,N,REL_280,REL,light,1.123
718,B15,seq33,N,N,REL_280,REL,no_light,0.344
719,B15,seq33,N,N,REL_280,REL,no_light,0.559
720,B15,seq33,N,N,REL_280,REL,no_light,1.116
721,B16,NA,A,A,G0_ANC,ANC,light,1.284
722,B16,NA,A,A,G0_ANC,ANC,light,1.196
723,B16,NA,A,A,G0_ANC,ANC,light,1.936
724,B16,NA,A,A,G0_ANC,ANC,no_light,0.6
725,B16,NA,A,A,G0_ANC,ANC,no_light,0.921
726,B16,NA,A,A,G0_ANC,ANC,no_light,1.13
727,B16,NA,A,N,G0_ANC,ANC,light,5.214
728,B16,NA,A,N,G0_ANC,ANC,light,3.504
729,B16,NA,A,N,G0_ANC,ANC,light,3.503
730,B16,NA,A,N,G0_ANC,ANC,no_light,2.555
731,B16,NA,A,N,G0_ANC,ANC,no_light,2.54
732,B16,NA,A,N,G0_ANC,ANC,no_light,3.227
733,B16,NA,N,A,G0_ANC,ANC,light,4.619
734,B16,NA,N,A,G0_ANC,ANC,light,4.784
735,B16,NA,N,A,G0_ANC,ANC,light,3.774
736,B16,NA,N,A,G0_ANC,ANC,no_light,1.379
737,B16,NA,N,A,G0_ANC,ANC,no_light,1.763
738,B16,NA,N,A,G0_ANC,ANC,no_light,1.235
739,B16,NA,N,N,G0_ANC,ANC,light,3.928
740,B16,NA,N,N,G0_ANC,ANC,light,3.03
741,B16,NA,N,N,G0_ANC,ANC,light,2.295
742,B16,NA,N,N,G0_ANC,ANC,no_light,2.15
743,B16,NA,N,N,G0_ANC,ANC,no_light,1.69
744,B16,NA,N,N,G0_ANC,ANC,no_light,1.435
745,B16,seq33,A,A,UNREL_160,UNREL,light,0.855
746,B16,seq33,A,A,UNREL_160,UNREL,light,0.854
747,B16,seq33,A,A,UNREL_160,UNREL,light,0.925
748,B16,seq33,A,A,UNREL_160,UNREL,no_light,0.44
749,B16,seq33,A,A,UNREL_160,UNREL,no_light,0.7
750,B16,seq33,A,A,UNREL_160,UNREL,no_light,0.784
751,B16,seq33,A,N,UNREL_160,UNREL,light,2.565
752,B16,seq33,A,N,UNREL_160,UNREL,light,2.82
753,B16,seq33,A,N,UNREL_160,UNREL,light,4.211
754,B16,seq33,A,N,UNREL_160,UNREL,no_light,3.406
755,B16,seq33,A,N,UNREL_160,UNREL,no_light,2.295
756,B16,seq33,A,N,UNREL_160,UNREL,no_light,2.262
757,B16,seq33,N,A,UNREL_160,UNREL,light,0.414
758,B16,seq33,N,A,UNREL_160,UNREL,light,0.333
759,B16,seq33,N,A,UNREL_160,UNREL,light,0.858
760,B16,seq33,N,A,UNREL_160,UNREL,no_light,0.28
761,B16,seq33,N,A,UNREL_160,UNREL,no_light,0.366
762,B16,seq33,N,A,UNREL_160,UNREL,no_light,0.3
763,B16,seq33,N,N,UNREL_160,UNREL,light,3.45
764,B16,seq33,N,N,UNREL_160,UNREL,light,1.752
765,B16,seq33,N,N,UNREL_160,UNREL,light,2.25
766,B16,seq33,N,N,UNREL_160,UNREL,no_light,1.366
767,B16,seq33,N,N,UNREL_160,UNREL,no_light,1.845
768,B16,seq33,N,N,UNREL_160,UNREL,no_light,1.735
769,B17,NA,A,A,G0_ANC,ANC,light,0.28
770,B17,NA,A,A,G0_ANC,ANC,light,0.402
771,B17,NA,A,A,G0_ANC,ANC,light,0.386
772,B17,NA,A,A,G0_ANC,ANC,no_light,0.132
773,B17,NA,A,A,G0_ANC,ANC,no_light,0.2
774,B17,NA,A,A,G0_ANC,ANC,no_light,0.159
775,B17,NA,A,N,G0_ANC,ANC,light,1.557
776,B17,NA,A,N,G0_ANC,ANC,light,1.262
777,B17,NA,A,N,G0_ANC,ANC,light,1.148
778,B17,NA,A,N,G0_ANC,ANC,no_light,0.742
779,B17,NA,A,N,G0_ANC,ANC,no_light,0.583
780,B17,NA,A,N,G0_ANC,ANC,no_light,0.891
781,B17,NA,N,A,G0_ANC,ANC,light,0.462
782,B17,NA,N,A,G0_ANC,ANC,light,0.596
783,B17,NA,N,A,G0_ANC,ANC,light,0.571
784,B17,NA,N,A,G0_ANC,ANC,no_light,0.544
785,B17,NA,N,A,G0_ANC,ANC,no_light,0.32
786,B17,NA,N,A,G0_ANC,ANC,no_light,0.261
787,B17,NA,N,N,G0_ANC,ANC,light,1.564
788,B17,NA,N,N,G0_ANC,ANC,light,0.797
789,B17,NA,N,N,G0_ANC,ANC,light,2.111
790,B17,NA,N,N,G0_ANC,ANC,no_light,1.144
791,B17,NA,N,N,G0_ANC,ANC,no_light,1.012
792,B17,NA,N,N,G0_ANC,ANC,no_light,1.213
793,B17,seq33,A,A,REL_210,REL,light,0.506
794,B17,seq33,A,A,REL_210,REL,light,0.312
795,B17,seq33,A,A,REL_210,REL,light,0.578
796,B17,seq33,A,A,REL_210,REL,no_light,0.268
797,B17,seq33,A,A,REL_210,REL,no_light,0.275
798,B17,seq33,A,A,REL_210,REL,no_light,0.175
799,B17,seq33,A,N,REL_210,REL,light,2.308
800,B17,seq33,A,N,REL_210,REL,light,1.516
801,B17,seq33,A,N,REL_210,REL,light,2.827
802,B17,seq33,A,N,REL_210,REL,no_light,2.543
803,B17,seq33,A,N,REL_210,REL,no_light,1.56
804,B17,seq33,A,N,REL_210,REL,no_light,2.496
805,B17,seq33,N,A,REL_210,REL,light,0.949
806,B17,seq33,N,A,REL_210,REL,light,0.647
807,B17,seq33,N,A,REL_210,REL,light,1.052
808,B17,seq33,N,A,REL_210,REL,no_light,0.408
809,B17,seq33,N,A,REL_210,REL,no_light,0.481
810,B17,seq33,N,A,REL_210,REL,no_light,0.414
811,B17,seq33,N,N,REL_210,REL,light,2.846
812,B17,seq33,N,N,REL_210,REL,light,2.051
813,B17,seq33,N,N,REL_210,REL,light,3.127
814,B17,seq33,N,N,REL_210,REL,no_light,2.008
815,B17,seq33,N,N,REL_210,REL,no_light,3.162
816,B17,seq33,N,N,REL_210,REL,no_light,2.772
817,B18,NA,A,A,G0_ANC,ANC,light,0.318
818,B18,NA,A,A,G0_ANC,ANC,light,0.492
819,B18,NA,A,A,G0_ANC,ANC,light,0.35
820,B18,NA,A,A,G0_ANC,ANC,no_light,0.29
821,B18,NA,A,A,G0_ANC,ANC,no_light,0.224
822,B18,NA,A,A,G0_ANC,ANC,no_light,0.224
823,B18,NA,A,N,G0_ANC,ANC,light,1.552
824,B18,NA,A,N,G0_ANC,ANC,light,1.368
825,B18,NA,A,N,G0_ANC,ANC,light,1.403
826,B18,NA,A,N,G0_ANC,ANC,no_light,1.061
827,B18,NA,A,N,G0_ANC,ANC,no_light,1.216
828,B18,NA,A,N,G0_ANC,ANC,no_light,0.861
829,B18,NA,N,A,G0_ANC,ANC,light,0.733
830,B18,NA,N,A,G0_ANC,ANC,light,0.558
831,B18,NA,N,A,G0_ANC,ANC,light,0.771
832,B18,NA,N,A,G0_ANC,ANC,no_light,0.467
833,B18,NA,N,A,G0_ANC,ANC,no_light,0.32
834,B18,NA,N,A,G0_ANC,ANC,no_light,0.503
835,B18,NA,N,N,G0_ANC,ANC,light,1.809
836,B18,NA,N,N,G0_ANC,ANC,light,2.311
837,B18,NA,N,N,G0_ANC,ANC,light,1.577
838,B18,NA,N,N,G0_ANC,ANC,no_light,1.603
839,B18,NA,N,N,G0_ANC,ANC,no_light,1.364
840,B18,NA,N,N,G0_ANC,ANC,no_light,1.608
841,B18,seq33,A,A,UNREL_130,UNREL,light,0.218
842,B18,seq33,A,A,UNREL_130,UNREL,light,0.186
843,B18,seq33,A,A,UNREL_130,UNREL,light,0.224
844,B18,seq33,A,A,UNREL_130,UNREL,no_light,0.183
845,B18,seq33,A,A,UNREL_130,UNREL,no_light,0.379
846,B18,seq33,A,A,UNREL_130,UNREL,no_light,0.226
847,B18,seq33,A,N,UNREL_130,UNREL,light,0.61
848,B18,seq33,A,N,UNREL_130,UNREL,light,0.747
849,B18,seq33,A,N,UNREL_130,UNREL,light,0.848
850,B18,seq33,A,N,UNREL_130,UNREL,no_light,0.462
851,B18,seq33,A,N,UNREL_130,UNREL,no_light,0.477
852,B18,seq33,A,N,UNREL_130,UNREL,no_light,0.346
853,B18,seq33,N,A,UNREL_130,UNREL,light,0.83
854,B18,seq33,N,A,UNREL_130,UNREL,light,0.572
855,B18,seq33,N,A,UNREL_130,UNREL,light,0.68
856,B18,seq33,N,A,UNREL_130,UNREL,no_light,0.49
857,B18,seq33,N,A,UNREL_130,UNREL,no_light,0.42
858,B18,seq33,N,A,UNREL_130,UNREL,no_light,0.406
859,B18,seq33,N,N,UNREL_130,UNREL,light,0.676
860,B18,seq33,N,N,UNREL_130,UNREL,light,0.531
861,B18,seq33,N,N,UNREL_130,UNREL,light,0.77
862,B18,seq33,N,N,UNREL_130,UNREL,no_light,0.64
863,B18,seq33,N,N,UNREL_130,UNREL,no_light,0.498
864,B18,seq33,N,N,UNREL_130,UNREL,no_light,0.638
